"id","code","description","division/id","hierarchy","parent/id","section/id","hasDivision","hasParent","hasSection"
"ciiu.1","SECCIÓN A","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",,,,,"False","False","False"
"ciiu.01",1,"Agricultura, ganadería, caza y actividades de servicios conexas ",,,,"ciiu.1","False","False","True"
"ciiu.011",11,"Cultivos agrícolas transitorios ","ciiu.01",,,,"True","False","False"
"ciiu.0111",111,"Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",,,"ciiu.011",,"False","True","False"
"ciiu.0112",112,"Cultivo de arroz ",,,"ciiu.011",,"False","True","False"
"ciiu.0113",113,"Cultivo de hortalizas, raíces y tubérculos ",,,"ciiu.011",,"False","True","False"
"ciiu.0114",114,"Cultivo de tabaco ",,,"ciiu.011",,"False","True","False"
"ciiu.0115",115,"Cultivo de plantas textiles ",,,"ciiu.011",,"False","True","False"
"ciiu.0119",119,"Otros cultivos transitorios n.c.p.",,,"ciiu.011",,"False","True","False"
"ciiu.012",12,"Cultivos agrícolas permanentes ","ciiu.01",,,,"True","False","False"
"ciiu.0121",121,"Cultivo de frutas tropicales y subtropicales",,,"ciiu.012",,"False","True","False"
"ciiu.0122",122,"Cultivo de plátano y banano",,,"ciiu.012",,"False","True","False"
"ciiu.0123",123,"Cultivo de café",,,"ciiu.012",,"False","True","False"
"ciiu.0124",124,"Cultivo de caña de azúcar",,,"ciiu.012",,"False","True","False"
"ciiu.0125",125,"Cultivo de flor de corte",,,"ciiu.012",,"False","True","False"
"ciiu.0126",126,"Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos",,,"ciiu.012",,"False","True","False"
"ciiu.0127",127,"Cultivo de plantas con las que se preparan bebidas",,,"ciiu.012",,"False","True","False"
"ciiu.0128",128,"Cultivo de especias y de plantas aromáticas y medicinales ",,,"ciiu.012",,"False","True","False"
"ciiu.0129",129,"Otros cultivos permanentes n.c.p.",,,"ciiu.012",,"False","True","False"
"ciiu.013",13,"Propagación de plantas (actividades de los viveros, excepto viveros forestales) ","ciiu.01",,,,"True","False","False"
"ciiu.0130",130,"Propagación de plantas (actividades de los viveros, excepto viveros forestales) ",,,"ciiu.013",,"False","True","False"
"ciiu.014",14,"Ganadería ","ciiu.01",,,,"True","False","False"
"ciiu.0141",141,"Cría de ganado bovino y bufalino",,,"ciiu.014",,"False","True","False"
"ciiu.0142",142,"Cría de caballos y otros equinos ",,,"ciiu.014",,"False","True","False"
"ciiu.0143",143,"Cría de ovejas y cabras ",,,"ciiu.014",,"False","True","False"
"ciiu.0144",144,"Cría de ganado porcino",,,"ciiu.014",,"False","True","False"
"ciiu.0145",145,"Cría de aves de corral",,,"ciiu.014",,"False","True","False"
"ciiu.0149",149,"Cría de otros animales n.c.p.",,,"ciiu.014",,"False","True","False"
"ciiu.015",15,"Explotación mixta (agrícola y pecuaria) ","ciiu.01",,,,"True","False","False"
"ciiu.0150",150,"Explotación mixta (agrícola y pecuaria) ",,,"ciiu.015",,"False","True","False"
"ciiu.016",16,"Actividades de apoyo a la agricultura y la ganadería, y actividades posteriores a la cosecha ","ciiu.01",,,,"True","False","False"
"ciiu.0161",161,"Actividades de apoyo a la agricultura ",,,"ciiu.016",,"False","True","False"
"ciiu.0162",162,"Actividades de apoyo a la ganadería",,,"ciiu.016",,"False","True","False"
"ciiu.0163",163,"Actividades posteriores a la cosecha ",,,"ciiu.016",,"False","True","False"
"ciiu.0164",164,"Tratamiento de semillas para propagación ",,,"ciiu.016",,"False","True","False"
"ciiu.017",17,"Caza ordinaria y mediante trampas y actividades de servicios conexas ","ciiu.01",,,,"True","False","False"
"ciiu.0170",170,"Caza ordinaria y mediante trampas y actividades de servicios conexas ",,,"ciiu.017",,"False","True","False"
"ciiu.02",2,"Silvicultura y extracción de madera",,,,"ciiu.1","False","False","True"
"ciiu.021",21,"Silvicultura y otras actividades forestales","ciiu.02",,,,"True","False","False"
"ciiu.0210",210,"Silvicultura y otras actividades forestales",,,"ciiu.021",,"False","True","False"
"ciiu.022",22,"Extracción de madera ","ciiu.02",,,,"True","False","False"
"ciiu.0220",220,"Extracción de madera ",,,"ciiu.022",,"False","True","False"
"ciiu.023",23,"Recolección de productos forestales diferentes a la madera","ciiu.02",,,,"True","False","False"
"ciiu.0230",230,"Recolección de productos forestales diferentes a la madera",,,"ciiu.023",,"False","True","False"
"ciiu.024",24,"Servicios de apoyo a la silvicultura ","ciiu.02",,,,"True","False","False"
"ciiu.0240",240,"Servicios de apoyo a la silvicultura ",,,"ciiu.024",,"False","True","False"
"ciiu.03",3,"Pesca y acuicultura",,,,"ciiu.1","False","False","True"
"ciiu.031",31,"Pesca ","ciiu.03",,,,"True","False","False"
"ciiu.0311",311,"Pesca marítima ",,,"ciiu.031",,"False","True","False"
"ciiu.0312",312,"Pesca de agua dulce ",,,"ciiu.031",,"False","True","False"
"ciiu.032",32,"Acuicultura ","ciiu.03",,,,"True","False","False"
"ciiu.0321",321,"Acuicultura marítima ",,,"ciiu.032",,"False","True","False"
"ciiu.0322",322,"Acuicultura de agua dulce",,,"ciiu.032",,"False","True","False"
"ciiu.2","SECCIÓN B","EXPLOTACIÓN DE MINAS Y CANTERAS",,,,,"False","False","False"
"ciiu.05",5,"Extracción de carbón de piedra y lignito",,,,"ciiu.2","False","False","True"
"ciiu.051",51,"Extracción de hulla (carbón de piedra)","ciiu.05",,,,"True","False","False"
"ciiu.0510",510,"Extracción de hulla (carbón de piedra)",,,"ciiu.051",,"False","True","False"
"ciiu.052",52,"Extracción de carbón lignito","ciiu.05",,,,"True","False","False"
"ciiu.0520",520,"Extracción de carbón lignito",,,"ciiu.052",,"False","True","False"
"ciiu.06",6,"Extracción de petróleo crudo y gas natural",,,,"ciiu.2","False","False","True"
"ciiu.061",61,"Extracción de petróleo crudo","ciiu.06",,,,"True","False","False"
"ciiu.0610",610,"Extracción de petróleo crudo",,,"ciiu.061",,"False","True","False"
"ciiu.062",62,"Extracción de gas natural","ciiu.06",,,,"True","False","False"
"ciiu.0620",620,"Extracción de gas natural",,,"ciiu.062",,"False","True","False"
"ciiu.07",7,"Extracción de minerales metalíferos",,,,"ciiu.2","False","False","True"
"ciiu.071",71,"Extracción de minerales de hierro","ciiu.07",,,,"True","False","False"
"ciiu.0710",710,"Extracción de minerales de hierro",,,"ciiu.071",,"False","True","False"
"ciiu.072",72,"Extracción de minerales metalíferos no ferrosos","ciiu.07",,,,"True","False","False"
"ciiu.0721",721,"Extracción de minerales de uranio y de torio",,,"ciiu.072",,"False","True","False"
"ciiu.0722",722,"Extracción de oro y otros metales preciosos",,,"ciiu.072",,"False","True","False"
"ciiu.0723",723,"Extracción de minerales de níquel",,,"ciiu.072",,"False","True","False"
"ciiu.0729",729,"Extracción de otros minerales metalíferos no ferrosos n.c.p.",,,"ciiu.072",,"False","True","False"
"ciiu.08",8,"Extracción de otras minas y canteras",,,,"ciiu.2","False","False","True"
"ciiu.081",81,"Extracción de piedra, arena, arcillas, cal, yeso, caolín, bentonitas y similares","ciiu.08",,,,"True","False","False"
"ciiu.0811",811,"Extracción de piedra, arena, arcillas comunes, yeso y anhidrita",,,"ciiu.081",,"False","True","False"
"ciiu.0812",812,"Extracción de arcillas de uso industrial, caliza, caolín y bentonitas",,,"ciiu.081",,"False","True","False"
"ciiu.082",82,"Extracción de esmeraldas, piedras preciosas y semipreciosas","ciiu.08",,,,"True","False","False"
"ciiu.0820",820,"Extracción de esmeraldas, piedras preciosas y semipreciosas",,,"ciiu.082",,"False","True","False"
"ciiu.089",89,"Extracción de otros minerales no metálicos n.c.p.","ciiu.08",,,,"True","False","False"
"ciiu.0891",891,"Extracción de minerales para la fabricación de abonos y productos químicos",,,"ciiu.089",,"False","True","False"
"ciiu.0892",892,"Extracción de halita (sal)",,,"ciiu.089",,"False","True","False"
"ciiu.0899",899,"Extracción de otros minerales no metálicos n.c.p.",,,"ciiu.089",,"False","True","False"
"ciiu.09",9,"Actividades de servicios de apoyo para la explotación de minas ",,,,"ciiu.2","False","False","True"
"ciiu.091",91,"Actividades de apoyo para la extracción de petróleo y de gas natural","ciiu.09",,,,"True","False","False"
"ciiu.0910",910,"Actividades de apoyo para la extracción de petróleo y de gas natural",,,"ciiu.091",,"False","True","False"
"ciiu.099",99,"Actividades de apoyo para otras actividades de explotación de minas y canteras","ciiu.09",,,,"True","False","False"
"ciiu.0990",990,"Actividades de apoyo para otras actividades de explotación de minas y canteras",,,"ciiu.099",,"False","True","False"
"ciiu.3","SECCIÓN C","INDUSTRIAS MANUFACTURERAS",,,,,"False","False","False"
"ciiu.22",22,"Fabricación de productos de caucho y de plástico",,,,"ciiu.3","False","False","True"
"ciiu.221",221,"Fabricación de productos de caucho","ciiu.22",,,,"True","False","False"
"ciiu.2211",2211,"Fabricación de llantas y neumáticos de caucho",,,"ciiu.221",,"False","True","False"
"ciiu.2212",2212,"Reencauche de llantas usadas",,,"ciiu.221",,"False","True","False"
"ciiu.2219",2219,"Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.",,,"ciiu.221",,"False","True","False"
"ciiu.222",222,"Fabricación de productos de plástico","ciiu.22",,,,"True","False","False"
"ciiu.2221",2221,"Fabricación de formas básicas de plástico",,,"ciiu.222",,"False","True","False"
"ciiu.2229",2229,"Fabricación de artículos de plástico n.c.p.",,,"ciiu.222",,"False","True","False"
"ciiu.23",23,"Fabricación de otros productos minerales no metálicos",,,,"ciiu.3","False","False","True"
"ciiu.231",231,"Fabricación de vidrio y productos de vidrio","ciiu.23",,,,"True","False","False"
"ciiu.2310",2310,"Fabricación de vidrio y productos de vidrio",,,"ciiu.231",,"False","True","False"
"ciiu.239",239,"Fabricación de productos minerales no metálicos n.c.p.","ciiu.23",,,,"True","False","False"
"ciiu.2391",2391,"Fabricación de productos refractarios",,,"ciiu.239",,"False","True","False"
"ciiu.2392",2392,"Fabricación de materiales de arcilla para la construcción",,,"ciiu.239",,"False","True","False"
"ciiu.2393",2393,"Fabricación de otros productos de cerámica y porcelana",,,"ciiu.239",,"False","True","False"
"ciiu.2394",2394,"Fabricación de cemento, cal y yeso",,,"ciiu.239",,"False","True","False"
"ciiu.2395",2395,"Fabricación de artículos de hormigón, cemento y yeso",,,"ciiu.239",,"False","True","False"
"ciiu.2396",2396,"Corte, tallado y acabado de la piedra",,,"ciiu.239",,"False","True","False"
"ciiu.2399",2399,"Fabricación de otros productos minerales no metálicos n.c.p.",,,"ciiu.239",,"False","True","False"
"ciiu.24",24,"Fabricación de productos metalúrgicos básicos",,,,"ciiu.3","False","False","True"
"ciiu.241",241,"Industrias básicas de hierro y de acero","ciiu.24",,,,"True","False","False"
"ciiu.2410",2410,"Industrias básicas de hierro y de acero",,,"ciiu.241",,"False","True","False"
"ciiu.242",242,"Industrias básicas de metales preciosos y de metales no ferrosos","ciiu.24",,,,"True","False","False"
"ciiu.2421",2421,"Industrias básicas de metales preciosos",,,"ciiu.242",,"False","True","False"
"ciiu.2429",2429,"Industrias básicas de otros metales no ferrosos",,,"ciiu.242",,"False","True","False"
"ciiu.243",243,"Fundición de metales","ciiu.24",,,,"True","False","False"
"ciiu.2431",2431,"Fundición de hierro y de acero",,,"ciiu.243",,"False","True","False"
"ciiu.2432",2432,"Fundición de metales no ferrosos ",,,"ciiu.243",,"False","True","False"
"ciiu.25",25,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",,,,"ciiu.3","False","False","True"
"ciiu.251",251,"Fabricación de productos metálicos para uso estructural, tanques, depósitos y generadores de vapor","ciiu.25",,,,"True","False","False"
"ciiu.2511",2511,"Fabricación de productos metálicos para uso estructural",,,"ciiu.251",,"False","True","False"
"ciiu.2512",2512,"Fabricación de tanques, depósitos y recipientes de metal, excepto los utilizados para el envase o transporte de mercancías",,,"ciiu.251",,"False","True","False"
"ciiu.2513",2513,"Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central",,,"ciiu.251",,"False","True","False"
"ciiu.252",252,"Fabricación de armas y municiones","ciiu.25",,,,"True","False","False"
"ciiu.2520",2520,"Fabricación de armas y municiones",,,"ciiu.252",,"False","True","False"
"ciiu.259",259,"Fabricación de otros productos elaborados de metal y actividades de servicios relacionadas con el trabajo de metales","ciiu.25",,,,"True","False","False"
"ciiu.2591",2591,"Forja, prensado, estampado y laminado de metal; pulvimetalurgia",,,"ciiu.259",,"False","True","False"
"ciiu.2592",2592,"Tratamiento y revestimiento de metales; mecanizado",,,"ciiu.259",,"False","True","False"
"ciiu.2593",2593,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",,,"ciiu.259",,"False","True","False"
"ciiu.2599",2599,"Fabricación de otros productos elaborados de metal n.c.p.",,,"ciiu.259",,"False","True","False"
"ciiu.26",26,"Fabricación de productos informáticos, electrónicos y ópticos",,,,"ciiu.3","False","False","True"
"ciiu.261",261,"Fabricación de componentes y tableros electrónicos","ciiu.26",,,,"True","False","False"
"ciiu.2610",2610,"Fabricación de componentes y tableros electrónicos",,,"ciiu.261",,"False","True","False"
"ciiu.262",262,"Fabricación de computadoras y de equipo periférico","ciiu.26",,,,"True","False","False"
"ciiu.2620",2620,"Fabricación de computadoras y de equipo periférico",,,"ciiu.262",,"False","True","False"
"ciiu.263",263,"Fabricación de equipos de comunicación","ciiu.26",,,,"True","False","False"
"ciiu.2630",2630,"Fabricación de equipos de comunicación",,,"ciiu.263",,"False","True","False"
"ciiu.264",264,"Fabricación de aparatos electrónicos de consumo","ciiu.26",,,,"True","False","False"
"ciiu.2640",2640,"Fabricación de aparatos electrónicos de consumo",,,"ciiu.264",,"False","True","False"
"ciiu.265",265,"Fabricación de equipo de medición, prueba, navegación y control; fabricación de relojes","ciiu.26",,,,"True","False","False"
"ciiu.2651",2651,"Fabricación de equipo de medición, prueba, navegación y control",,,"ciiu.265",,"False","True","False"
"ciiu.2652",2652,"Fabricación de relojes",,,"ciiu.265",,"False","True","False"
"ciiu.266",266,"Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico","ciiu.26",,,,"True","False","False"
"ciiu.2660",2660,"Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico",,,"ciiu.266",,"False","True","False"
"ciiu.267",267,"Fabricación de instrumentos ópticos y equipo fotográfico","ciiu.26",,,,"True","False","False"
"ciiu.2670",2670,"Fabricación de instrumentos ópticos y equipo fotográfico",,,"ciiu.267",,"False","True","False"
"ciiu.268",268,"Fabricación de medios magnéticos y ópticos para almacenamiento de datos","ciiu.26",,,,"True","False","False"
"ciiu.2680",2680,"Fabricación de medios magnéticos y ópticos para almacenamiento de datos",,,"ciiu.268",,"False","True","False"
"ciiu.27",27,"Fabricación de aparatos y equipo eléctrico",,,,"ciiu.3","False","False","True"
"ciiu.271",271,"Fabricación de motores, generadores y transformadores eléctricos y de aparatos de distribución y control de la energía eléctrica","ciiu.27",,,,"True","False","False"
"ciiu.2711",2711,"Fabricación de motores, generadores y transformadores eléctricos",,,"ciiu.271",,"False","True","False"
"ciiu.2712",2712,"Fabricación de aparatos de distribución y control de la energía eléctrica",,,"ciiu.271",,"False","True","False"
"ciiu.272",272,"Fabricación de pilas, baterías y acumuladores eléctricos","ciiu.27",,,,"True","False","False"
"ciiu.2720",2720,"Fabricación de pilas, baterías y acumuladores eléctricos",,,"ciiu.272",,"False","True","False"
"ciiu.273",273,"Fabricación de hilos y cables aislados y sus dispositivos","ciiu.27",,,,"True","False","False"
"ciiu.2731",2731,"Fabricación de hilos y cables eléctricos y de fibra óptica",,,"ciiu.273",,"False","True","False"
"ciiu.2732",2732,"Fabricación de dispositivos de cableado",,,"ciiu.273",,"False","True","False"
"ciiu.274",274,"Fabricación de equipos eléctricos de iluminación","ciiu.27",,,,"True","False","False"
"ciiu.2740",2740,"Fabricación de equipos eléctricos de iluminación",,,"ciiu.274",,"False","True","False"
"ciiu.275",275,"Fabricación de aparatos de uso doméstico","ciiu.27",,,,"True","False","False"
"ciiu.2750",2750,"Fabricación de aparatos de uso doméstico",,,"ciiu.275",,"False","True","False"
"ciiu.279",279,"Fabricación de otros tipos de equipo eléctrico n.c.p.","ciiu.27",,,,"True","False","False"
"ciiu.2790",2790,"Fabricación de otros tipos de equipo eléctrico n.c.p.",,,"ciiu.279",,"False","True","False"
"ciiu.28",28,"Fabricación de maquinaria y equipo n.c.p.",,,,"ciiu.3","False","False","True"
"ciiu.281",281,"Fabricación de maquinaria y equipo de uso general","ciiu.28",,,,"True","False","False"
"ciiu.2811",2811,"Fabricación de motores, turbinas, y partes para motores de combustión interna",,,"ciiu.281",,"False","True","False"
"ciiu.2812",2812,"Fabricación de equipos de potencia hidráulica y neumática",,,"ciiu.281",,"False","True","False"
"ciiu.2813",2813,"Fabricación de otras bombas, compresores, grifos y válvulas",,,"ciiu.281",,"False","True","False"
"ciiu.2814",2814,"Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión",,,"ciiu.281",,"False","True","False"
"ciiu.2815",2815,"Fabricación de hornos, hogares y quemadores industriales",,,"ciiu.281",,"False","True","False"
"ciiu.2816",2816,"Fabricación de equipo de elevación y manipulación",,,"ciiu.281",,"False","True","False"
"ciiu.2817",2817,"Fabricación de maquinaria y equipo de oficina (excepto computadoras y equipo periférico)",,,"ciiu.281",,"False","True","False"
"ciiu.2818",2818,"Fabricación de herramientas manuales con motor",,,"ciiu.281",,"False","True","False"
"ciiu.2819",2819,"Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p.",,,"ciiu.281",,"False","True","False"
"ciiu.282",282,"Fabricación de maquinaria y equipo de uso especial","ciiu.28",,,,"True","False","False"
"ciiu.2821",2821,"Fabricación de maquinaria agropecuaria y forestal",,,"ciiu.282",,"False","True","False"
"ciiu.2822",2822,"Fabricación de máquinas formadoras de metal y de máquinas herramienta",,,"ciiu.282",,"False","True","False"
"ciiu.2823",2823,"Fabricación de maquinaria para la metalurgia",,,"ciiu.282",,"False","True","False"
"ciiu.2824",2824,"Fabricación de maquinaria para explotación de minas y canteras y para obras de construcción",,,"ciiu.282",,"False","True","False"
"ciiu.2825",2825,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",,,"ciiu.282",,"False","True","False"
"ciiu.2826",2826,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros",,,"ciiu.282",,"False","True","False"
"ciiu.2829",2829,"Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p.",,,"ciiu.282",,"False","True","False"
"ciiu.29",29,"Fabricación de vehículos automotores, remolques y semirremolques",,,,"ciiu.3","False","False","True"
"ciiu.291",291,"Fabricación de vehículos automotores y sus motores","ciiu.29",,,,"True","False","False"
"ciiu.2910",2910,"Fabricación de vehículos automotores y sus motores",,,"ciiu.291",,"False","True","False"
"ciiu.292",292,"Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques ","ciiu.29",,,,"True","False","False"
"ciiu.2920",2920,"Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques ",,,"ciiu.292",,"False","True","False"
"ciiu.293",293,"Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores","ciiu.29",,,,"True","False","False"
"ciiu.2930",2930,"Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",,,"ciiu.293",,"False","True","False"
"ciiu.30",30,"Fabricación de otros tipos de equipo de transporte",,,,"ciiu.3","False","False","True"
"ciiu.301",301,"Construcción de barcos y otras embarcaciones","ciiu.30",,,,"True","False","False"
"ciiu.3011",3011,"Construcción de barcos y de estructuras flotantes",,,"ciiu.301",,"False","True","False"
"ciiu.3012",3012,"Construcción de embarcaciones de recreo y deporte",,,"ciiu.301",,"False","True","False"
"ciiu.302",302,"Fabricación de locomotoras y de material rodante para ferrocarriles","ciiu.30",,,,"True","False","False"
"ciiu.3020",3020,"Fabricación de locomotoras y de material rodante para ferrocarriles",,,"ciiu.302",,"False","True","False"
"ciiu.303",303,"Fabricación de aeronaves, naves espaciales y de maquinaria conexa","ciiu.30",,,,"True","False","False"
"ciiu.3030",3030,"Fabricación de aeronaves, naves espaciales y de maquinaria conexa",,,"ciiu.303",,"False","True","False"
"ciiu.304",304,"Fabricación de vehículos militares de combate","ciiu.30",,,,"True","False","False"
"ciiu.3040",3040,"Fabricación de vehículos militares de combate",,,"ciiu.304",,"False","True","False"
"ciiu.309",309,"Fabricación de otros tipos de equipo de transporte n.c.p.","ciiu.30",,,,"True","False","False"
"ciiu.3091",3091,"Fabricación de motocicletas",,,"ciiu.309",,"False","True","False"
"ciiu.3092",3092,"Fabricación de bicicletas y de sillas de ruedas para personas con discapacidad",,,"ciiu.309",,"False","True","False"
"ciiu.3099",3099,"Fabricación de otros tipos de equipo de transporte n.c.p.",,,"ciiu.309",,"False","True","False"
"ciiu.31",31,"Fabricación de muebles, colchones y somieres",,,,"ciiu.3","False","False","True"
"ciiu.311",311,"Fabricación de muebles ","ciiu.31",,,,"True","False","False"
"ciiu.3110",3110,"Fabricación de muebles ",,,"ciiu.311",,"False","True","False"
"ciiu.312",312,"Fabricación de colchones y somieres","ciiu.31",,,,"True","False","False"
"ciiu.3120",3120,"Fabricación de colchones y somieres",,,"ciiu.312",,"False","True","False"
"ciiu.32",32,"Otras industrias manufactureras",,,,"ciiu.3","False","False","True"
"ciiu.321",321,"Fabricación de joyas, bisutería y artículos conexos","ciiu.32",,,,"True","False","False"
"ciiu.3210",3210,"Fabricación de joyas, bisutería y artículos conexos",,,"ciiu.321",,"False","True","False"
"ciiu.322",322,"Fabricación de instrumentos musicales","ciiu.32",,,,"True","False","False"
"ciiu.3220",3220,"Fabricación de instrumentos musicales",,,"ciiu.322",,"False","True","False"
"ciiu.323",323,"Fabricación de artículos y equipo para la práctica del deporte","ciiu.32",,,,"True","False","False"
"ciiu.3230",3230,"Fabricación de artículos y equipo para la práctica del deporte",,,"ciiu.323",,"False","True","False"
"ciiu.324",324,"Fabricación de juegos, juguetes y rompecabezas","ciiu.32",,,,"True","False","False"
"ciiu.3240",3240,"Fabricación de juegos, juguetes y rompecabezas",,,"ciiu.324",,"False","True","False"
"ciiu.325",325,"Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario)","ciiu.32",,,,"True","False","False"
"ciiu.3250",3250,"Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario)",,,"ciiu.325",,"False","True","False"
"ciiu.329",329,"Otras industrias manufactureras n.c.p.","ciiu.32",,,,"True","False","False"
"ciiu.3290",3290,"Otras industrias manufactureras n.c.p.",,,"ciiu.329",,"False","True","False"
